player_name,season,pos,age,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws_per_48,obpm,dbpm,bpm,vorp,mp,pk
John Lucas,2011,PG,28,-0.1,0.258,0.333,0.667,0,0,15,0,0,0,17.8,0,0,-0.121,-6.3,-3.3,-9.6,0,10,1
John Salmons,2011,SG,31,12.8,0.51,0.244,0.267,1.2,11.2,17.5,1.5,0.9,12,20.9,0.9,3.4,0.081,-0.9,0.7,-0.3,1.1,2554,26
John Wall,2011,PG,20,15.8,0.494,0.118,0.404,1.5,12.8,36,2.4,1,18.6,23.8,0.3,1.9,0.041,0,-0.8,-0.8,0.8,2606,1
Jon Brockman,2011,C,23,9.6,0.567,0,0.628,12.4,19.4,4.2,1.1,0.3,16.7,10,0.8,1,0.132,-4.1,0.2,-3.9,-0.3,677,38
Jonny Flynn,2011,PG,21,7.1,0.444,0.338,0.142,1.3,7.5,27.6,1.7,0.2,26.4,18.5,-1.6,0.2,-0.064,-3.9,-2.4,-6.3,-1.1,983,6
Jordan Crawford,2011,SG,22,11.81051607,0.4558062317,0.2562244401,0.1677429406,3.411587147,8.571908471,19.79946446,1.964313535,0.226630964,13.37590068,27.00126582,-0.7844206426,0.3844206426,-0.02592015579,-1.474634859,-2.288948393,-3.763583252,-0.3844206426,1027,27
Jordan Farmar,2011,PG,24,14.1,0.504,0.467,0.154,1.5,10.1,34.9,1.8,0.3,16.7,21.6,0.8,1,0.05,0.8,-1.3,-0.4,0.7,1796,26
Jordan Hill,2011,C,23,13,0.521,0.006,0.241,12.9,18,4,0.6,3.2,13.7,17.7,0.8,1,0.079,-2.9,-1.4,-4.3,-0.7,1125,8
Jose Calderon,2011,PG,29,16.3,0.522,0.262,0.173,1.7,9.9,43,2,0.3,18.8,16.8,3.2,0.4,0.084,1.9,-1.2,0.8,1.5,2102,61
Josh Childress,2011,SG,27,13,0.567,0.075,0.276,8.9,11.1,7,1.9,1.9,15.5,14.3,0.8,0.6,0.076,-0.6,0.1,-0.5,0.3,894,6
Josh Howard,2011,SF,30,9.2,0.416,0.179,0.29,4.8,16.2,9.4,1.6,0.9,9.9,21.9,-0.5,0.3,-0.027,-3.1,-0.7,-3.8,-0.2,409,29
Josh McRoberts,2011,PF,23,16,0.608,0.155,0.308,7.6,18.8,15,1.5,2.6,17.5,14.7,2.6,2.2,0.147,0.6,1.7,2.3,1.7,1676,37
Josh Powell,2011,PF,28,8,0.492,0.005,0.216,9.1,15.8,5.5,0.4,0.6,18.9,20.4,-0.7,0.5,-0.012,-5,-2.3,-7.3,-0.9,701,61
Josh Smith,2011,PF,25,19.2,0.54,0.148,0.304,6.2,23.7,17.1,2,3.5,14.3,24.7,1.9,4.5,0.116,1,1.7,2.8,3.2,3083,17
JR Smith,2011,SF,25,16.4,0.55,0.406,0.282,2.7,15.8,14.2,2.3,0.6,10.2,22.2,2.6,2.3,0.121,1.1,0.6,1.7,1.9,2044,61
Jrue Holiday,2011,PG,20,15.4,0.525,0.222,0.209,2.7,10.5,29,2.2,0.8,16.7,20.8,2.2,3.5,0.094,0.4,0.4,0.8,2,3089,17
Julian Wright,2011,SF,23,12.1,0.525,0.063,0.269,7.1,11.3,11,2.6,2,19.4,13,0.2,0.4,0.038,-0.7,0.7,0,0.4,766,13
Juwan Howard,2011,PF,37,8.4,0.495,0,0.28,7.7,16.3,5.8,0.9,0.5,15.1,13.1,0.2,0.8,0.074,-3.5,0,-3.5,-0.2,652,5
Keith Bogans,2011,SG,30,9,0.559,0.772,0.104,1.6,10.1,10.1,1.4,0.5,11.3,11.4,1.4,2.2,0.118,-1.5,1.4,-0.2,0.7,1768,43
Kendrick Perkins,2011,C,26,9.582008086,0.5365222372,0,0.5503780323,10.40471698,26.21401617,5.173450135,0.594541779,2.607816712,25.75707547,13.69602426,-0.15,0.9,0.06335849057,-3.6,0.6187331536,-3.010175202,-0.1289083558,1221,27
Kenyon Martin,2011,PF,33,14.1,0.526,0.025,0.199,6.5,20.9,13.6,1.8,2.2,13,16.4,1,1.6,0.104,-0.8,1.7,0.9,0.9,1381,1
Kevin Durant,2011,SF,22,23.6,0.589,0.269,0.439,2.3,17.7,13.2,1.5,1.8,10.6,30.6,8.6,3.3,0.189,5.2,-0.3,4.9,5.3,3760,2
Kevin Garnett,2011,PF,34,20.6,0.575,0.006,0.264,4.9,28.7,13.5,2.3,2,11.1,22.3,3.4,5.6,0.194,1.8,2.9,4.7,3.8,2548,5
Kevin Love,2011,PF,22,24.3,0.593,0.206,0.486,13.7,34.2,11.8,0.9,0.8,11.1,22.9,8.9,2.5,0.21,5.7,-1.3,4.4,4.2,2611,5
Kevin Martin,2011,SG,27,21.4,0.601,0.362,0.528,1.2,10,13,1.6,0.4,10.5,29.6,8,1.5,0.175,4.3,-1,3.4,3.5,2603,26
Kevin Seraphin,2011,PF,21,8.4,0.479,0,0.211,13.9,13.4,2.4,1.4,3.4,20.7,14.1,-0.2,0.5,0.017,-5.8,-1,-6.9,-0.8,635,17
Keyon Dooling,2011,PG,30,11.3,0.509,0.451,0.181,0.8,7.1,23.4,1.6,0.2,14,17.3,0.8,2.1,0.08,-1.4,0.2,-1.2,0.4,1757,10
